Age,Grade,Gender,Race,SES_Quartile,ParentalEducation,SchoolType,Locale,TestScore_Math,TestScore_Reading,TestScore_Science,GPA,AttendanceRate,StudyHours,InternetAccess,Extracurricular,PartTimeJob,ParentSupport,Romantic,FreeTime,GoOut
18,12,Male,White,1,HS,Public,Suburban,71.07603589180043,79.49825190695064,72.54833704877665,2.7896380256254725,0.8956099990076715,0.6630067477268639,0,0,1,0,0,4,3
15,10,Female,White,2,HS,Public,Suburban,75.98712066195213,86.47044266808749,81.6509664980634,3.377231378124557,0.9196217405418516,0.943459046299466,1,1,0,0,0,5,4
17,12,Female,Black,3,HS,Public,City,81.40279706777248,76.99382379105852,95.48381155177772,3.559815879771925,0.9626253224647972,0.9227516906664496,0,0,0,1,0,3,3
14,9,Male,Two-or-more,4,SomeCollege,Public,Rural,70.33367499622771,73.2659866184041,71.04280359366618,3.0293728573749745,0.8563442741965797,0.3122181736326542,1,1,0,1,0,4,1
16,11,Female,Two-or-more,1,HS,Public,City,66.85965165909332,63.95108129934868,57.944077135322246,1.99809783228361,0.849217397183709,0.0435007870557744,1,0,0,1,1,3,2
16,11,Male,White,3,<HS,Private,City,77.40008444907878,75.56222241803083,57.05414070818168,2.6691921022280134,0.8611757779180125,0.9793526661418948,1,0,0,0,0,3,3
16,11,Male,Black,2,Bachelors+,Public,City,70.25797060121758,75.91685837972587,81.84291696427049,2.8488502862559906,0.8825305917548708,1.3128759608799951,1,1,0,1,0,2,2
17,12,Female,White,3,Bachelors+,Public,Rural,71.13782161193667,67.74233718858152,75.00930125402817,3.1323478052177887,0.8690951758976997,0.7197001186704104,1,0,0,0,0,2,2
17,12,Female,White,4,SomeCollege,Public,Rural,80.720970121417,78.43625198708892,69.41006639690397,2.8911788066894166,0.8895429854510375,0.7217103323284327,1,0,1,1,0,4,4
18,12,Female,Hispanic,4,Bachelors+,Public,Suburban,93.39530333690512,91.59520659227324,98.1712219148303,3.675318341593198,0.9821868974607328,1.2045718551006406,1,0,0,1,0,2,3
14,9,Female,White,3,HS,Public,Rural,70.68661301321997,82.27996301542396,82.73245574072592,3.5026393326101712,0.9299286090311766,1.267435590627064,1,1,0,1,0,4,2
16,11,Female,White,4,Bachelors+,Public,Town,84.99794665899819,78.93099879552707,85.55939321444953,3.1772060626515906,0.93741004745641,1.088290164601199,1,0,0,0,0,2,2
14,9,Female,Hispanic,4,HS,Public,Suburban,74.26000736739864,70.83089806581039,78.88217279962065,2.9815732708526386,0.886736929588982,0.4025190512178211,1,1,0,0,0,3,3
17,12,Female,White,4,Bachelors+,Public,Rural,53.124219062696966,58.589377031823446,41.637507698378656,2.412109729594076,0.7887115295855047,0.5911729491766784,1,0,0,1,0,3,2
14,9,Male,Black,1,<HS,Public,City,72.84607313837377,86.30991327422424,96.45371484168484,3.34068631756872,0.9415817781812352,1.88473585918172,1,0,0,0,0,3,3
16,11,Male,White,2,<HS,Private,Suburban,81.53594152356068,78.43476402760145,80.31628731066772,3.036887261967104,0.9023428127781934,1.0725219979471683,1,1,0,0,0,5,2
15,10,Female,White,1,HS,Private,City,85.90831962500671,93.86048200722568,97.74202481886964,3.618499897437228,0.973835171446277,1.7140940050508084,1,0,0,0,0,3,2
16,11,Female,White,3,Bachelors+,Public,Rural,92.53379686157145,75.30957200882091,93.94424078284996,3.3070286982176205,0.984607159452516,0.8191136109486872,1,1,0,1,0,3,2
18,12,Female,Hispanic,3,<HS,Public,Suburban,77.77630725118316,74.19662313786368,76.12559150116005,2.924064304047981,0.888301673906533,0.8657495732531099,1,0,0,0,0,4,1
16,11,Male,Black,4,SomeCollege,Public,Suburban,73.37565120649064,74.38856977474049,71.4342029614244,2.893857252213675,0.9308198058873453,0.6980989444014415,1,0,0,1,0,1,1
15,10,Female,Hispanic,2,SomeCollege,Public,Suburban,76.47820227389369,84.83843711230426,78.62526599794285,3.439327236477096,0.9309470689098784,1.4658491418804742,1,1,0,0,0,2,2
18,12,Male,White,1,<HS,Public,Suburban,75.02643693199906,75.40696638634495,61.77119700985472,2.8060392319427785,0.8936841588224833,1.435818879564006,1,0,0,0,1,3,2
18,12,Female,White,1,<HS,Public,Town,75.86926028326148,69.08201186653119,68.29734018165107,2.391380832464958,0.9198168251936868,0.9616661729648543,0,1,0,0,1,2,1
16,11,Female,Hispanic,2,HS,Public,City,72.17181331951943,67.53732446644729,74.11283004675632,2.7075060514688243,0.8854142492054722,1.1769370140137858,1,1,0,0,0,4,2
17,12,Male,White,2,HS,Public,City,54.92041246909044,51.43434038686323,54.042190579406295,2.148824397952852,0.7811161659920542,0.7962139409846001,1,0,1,0,1,2,1
18,12,Male,White,2,<HS,Private,City,69.69754610952526,82.83097801568883,73.9357590177557,2.92875708625156,0.8974305247737655,1.3241091423820133,0,0,1,0,0,3,2
17,12,Male,Hispanic,3,HS,Public,Suburban,73.22461898098936,69.99008053269559,70.07274672054255,2.551004466927007,0.8856724312106348,0.5832078571691683,1,0,0,1,0,2,3
17,12,Male,Asian,2,SomeCollege,Public,City,76.90173446671555,74.33899664678069,75.21729973893757,3.0127480045126824,0.9051290020986008,0.0182815554353151,1,0,0,1,0,2,3
16,11,Male,White,2,SomeCollege,Public,Suburban,69.92234285145676,65.06415758158496,72.51565698222035,2.619737931699437,0.8971464626440123,1.2671667636993056,1,1,0,1,0,2,3
18,12,Male,Hispanic,3,SomeCollege,Public,Suburban,85.99239698992663,87.16979261031999,88.69870011367388,3.605175007083061,0.973284230507815,1.1898513180151875,1,1,0,1,1,2,3
15,10,Male,Two-or-more,1,<HS,Public,City,69.45199273564758,79.35793617352456,72.86333166944846,2.793170287658678,0.8674604638154791,0.888050284927615,1,0,0,0,0,2,4
17,12,Male,Hispanic,4,Bachelors+,Public,City,95.81434671652993,93.6234343487319,87.06511719280475,4.0,1.0,1.6171998257417155,1,1,0,1,0,5,1
14,9,Male,Hispanic,1,Bachelors+,Public,Suburban,94.87586397027054,84.39486260488071,83.53456770637274,3.557125688433889,0.965160917117526,0.6955330042741258,1,0,1,1,0,5,1
17,12,Male,Black,3,SomeCollege,Public,Suburban,69.58041776211857,84.50535956968722,56.42157539614364,2.957009706194458,0.8951022422399367,1.0324441621624636,1,1,0,0,0,2,2
17,12,Male,White,3,HS,Public,Rural,89.4254835751905,84.20894164846086,79.36477229020403,3.2844041968562774,0.943738918287436,1.3842754952385117,0,0,0,1,0,3,1
14,9,Female,Black,4,SomeCollege,Private,Town,72.32501190563349,72.58849667895817,67.34884592829891,2.9192086651028384,0.8784985048086099,1.1057091086617912,1,1,0,0,0,3,1
14,9,Male,Black,3,SomeCollege,Public,Rural,66.52980231363365,86.9524090753727,80.20227864632749,2.673026829751312,0.9039017138307964,1.0456235907840243,1,0,0,1,0,4,3
18,12,Female,Asian,4,SomeCollege,Public,Suburban,80.1963368535957,89.71347346782072,90.20294392843984,3.680919508862426,0.9424903506205404,0.5111005072023238,1,0,0,1,0,4,1
15,10,Female,Hispanic,3,SomeCollege,Public,City,54.193031579307146,63.27646957909938,61.24772886512306,2.108295406112473,0.8353120605268448,0.646364810022104,0,0,0,0,0,3,2
18,12,Female,White,3,SomeCollege,Private,Suburban,79.7859837130107,95.4558758893498,82.0721516082908,3.639783948722731,0.954881086026776,1.2122029284525422,1,1,0,0,0,2,2
17,12,Male,White,2,HS,Public,Suburban,72.98693079018001,78.9259145409888,82.31207646567825,2.8865909071867777,0.9230816947534476,1.185219485874784,1,0,0,0,0,2,1
14,9,Female,Black,4,SomeCollege,Public,Suburban,67.86882042629139,71.46221451455781,73.14334603711038,3.254088735260655,0.8625724303034618,0.9480909214529324,1,1,0,0,0,4,1
14,9,Male,Hispanic,3,SomeCollege,Private,Suburban,56.92500121011548,62.45196215920812,52.80619199710687,2.478996487061594,0.8182084805801747,0.6872734216908016,1,0,0,0,0,4,1
14,9,Female,Hispanic,2,<HS,Private,City,83.21094426050313,78.41395085898861,85.93142867393848,3.2464751622177284,0.921132039595034,1.4893155110268277,1,0,0,0,0,5,2
18,12,Male,White,1,<HS,Public,Suburban,79.92492757532611,75.46989626197016,79.9911413034595,2.6081449440404176,0.939182530701374,1.2743446470670643,1,1,0,0,0,2,2
14,9,Female,Hispanic,1,SomeCollege,Public,Suburban,87.07548306636916,85.04522043546714,80.98912338187289,3.618102332971851,0.9384664975960648,0.9911164043594392,1,1,0,1,0,4,3
15,10,Female,Hispanic,4,HS,Public,City,73.71809245577215,90.75408342924489,87.48436398148958,3.447056040143498,0.9352827864745876,1.6801002017066726,1,1,0,0,0,2,2
16,11,Female,White,2,<HS,Public,Rural,74.04684247363399,88.65310050493582,76.99000221855881,2.455933385428569,0.9059914629775816,1.511555932557845,0,0,0,0,0,3,3
18,12,Female,White,2,Bachelors+,Public,Town,66.54737643864249,61.16376954625238,60.797914393527634,2.4695104416798355,0.813989684540188,0.56222120140607,1,0,1,1,0,3,1
16,11,Female,White,3,SomeCollege,Public,City,73.79218185483194,82.34230415971562,79.14894828598783,3.532439805184276,0.9360506781364328,1.3110575477466089,1,0,0,1,1,3,1
17,12,Female,White,1,HS,Public,City,78.06232111047586,74.11863378944018,79.8617906144701,3.011868971356862,0.9167803381130616,1.4966339398790136,1,1,0,0,0,2,2
15,10,Female,White,1,HS,Public,Suburban,65.74128371766571,75.92640285790522,60.69858568566378,2.665869635483984,0.8613076183561608,1.0627113571590538,1,1,0,0,0,3,1
18,12,Male,Hispanic,3,Bachelors+,Private,Suburban,94.45923293328369,85.8895201285048,84.94636551764215,3.533474533964456,0.956153952230301,1.400616272030193,1,1,1,1,0,3,1
18,12,Male,White,2,HS,Public,Town,68.94393806277057,70.75739570329505,75.77512946833279,3.033548924664176,0.8942276123956179,0.565855812380828,1,0,0,0,1,3,2
15,10,Female,White,3,SomeCollege,Public,City,64.47531313523123,54.85475665338316,54.16666114594816,2.4443682677585565,0.8233204617980489,0.93427274513666,1,1,0,1,1,2,3
18,12,Female,Black,2,HS,Public,Suburban,57.98796763089685,64.60128090199744,70.04070369983378,3.0199594243908896,0.8447708276209147,0.8181012657756559,1,1,0,0,1,2,1
16,11,Female,Hispanic,2,SomeCollege,Private,Rural,84.13551299263669,80.26078524586275,83.64389621828109,3.1979285298396336,0.9790791646884331,1.2273026973714092,1,0,1,0,0,3,4
17,12,Female,Black,1,SomeCollege,Public,Town,77.74835616036353,84.17712953212254,91.61891824829308,3.331187291162825,0.9668448952508364,0.982765129521765,0,0,1,0,1,2,1
18,12,Female,White,2,SomeCollege,Public,Suburban,69.45285347138422,70.03217511267829,74.10989707537864,2.822395707080251,0.879021650655622,1.0054710715851434,1,1,0,1,1,4,1
16,11,Male,Hispanic,3,HS,Private,City,73.29034784763446,81.81603467969967,76.34673237302292,3.684780062517032,0.8995961494470517,1.1581794092234876,1,1,0,0,0,3,2
17,12,Male,White,3,Bachelors+,Public,Suburban,75.18777173742244,69.2812294814846,74.72343222539126,2.6250132353768683,0.8896996559579047,1.114194469026224,1,1,0,1,1,2,1
16,11,Female,Hispanic,3,HS,Public,City,69.72133057734457,68.33825130229745,66.9499798746029,2.6332247338492403,0.8697491217432055,0.6870644321205464,1,0,0,0,0,3,4
15,10,Female,White,1,<HS,Public,Suburban,87.30454984383627,64.37992561709254,67.02251679534992,3.254353182704913,0.8901785322559733,0.9833451274938816,1,0,0,0,0,2,2
15,10,Male,Two-or-more,1,SomeCollege,Public,Rural,73.9521236154234,75.3229569580163,89.74126409687247,3.595907680470598,0.9568295797767052,1.1736808167440576,1,1,1,0,0,1,2
14,9,Female,Other,3,SomeCollege,Public,Suburban,85.56732247988485,97.34529279467029,85.21306945892736,3.305991208361,0.9627816700105792,1.4281328747323214,1,0,1,0,0,3,3
14,9,Female,White,2,<HS,Public,Suburban,63.71198735480305,67.17848691593497,62.12591999576442,2.9682367996366272,0.854326148079926,0.7775580625370214,1,0,0,0,1,4,1
18,12,Female,Hispanic,3,<HS,Private,Suburban,71.47764949834354,78.52218763385547,75.21069411341803,3.4991213863427046,0.9239854895011888,1.317836075693709,1,1,0,0,1,2,2
18,12,Female,Asian,2,HS,Public,Suburban,58.04574840020437,67.01641940718218,57.00035339219352,2.702877987941814,0.8603042223776299,1.4384566470860518,1,0,0,1,1,3,3
16,11,Male,Hispanic,4,Bachelors+,Public,Town,53.325114360355485,66.47793424148577,58.39403437004002,1.9347688598906307,0.8297245830394777,0.5756203098110352,1,0,1,1,1,5,1
14,9,Male,White,2,SomeCollege,Public,City,100.0,100.0,91.58580590896013,3.71628306124822,0.9863072012113716,0.7829208063772678,1,1,0,1,0,3,3
16,11,Male,Hispanic,2,HS,Public,Suburban,66.27776180061583,70.41950449978972,61.65577807998635,2.553712382064059,0.8707767438532124,0.7436684401069585,1,0,0,0,0,3,3
16,11,Male,Black,2,<HS,Public,Rural,63.3399896884507,72.97274038294266,70.37515598653408,2.659773453309828,0.8787349918842984,0.8351267334997183,1,0,0,0,0,5,4
17,12,Female,White,3,SomeCollege,Private,Suburban,79.20972401106663,74.61753905291987,83.0230267714459,2.591688752048653,0.8999284722869687,0.7796599812682314,1,1,0,0,0,2,1
16,11,Female,White,1,<HS,Public,City,73.15290244180862,73.06490301508666,78.16748290157587,2.9068375714212187,0.8992516816772992,1.2116193571759752,1,1,0,0,0,2,2
18,12,Female,Two-or-more,2,SomeCollege,Public,Suburban,80.53608467502477,77.33492438289514,86.44777065832545,3.233563494599443,0.9634729237575118,1.763203557157092,1,0,0,0,0,2,2
16,11,Female,Hispanic,2,Bachelors+,Public,Suburban,79.7603513005696,81.72474951211315,90.4514405612926,3.8282840048282094,0.9481411140301595,1.2219888921275346,1,1,0,1,0,3,2
17,12,Female,Hispanic,1,HS,Public,Town,65.3934671564387,74.77531879926467,81.48903299060481,3.3079602170398346,0.8997486228689473,1.003337616287968,0,0,1,0,0,5,1
15,10,Female,Hispanic,2,SomeCollege,Public,City,63.003362698976616,58.508441047103645,58.2110662273687,2.1673226675585937,0.8283458245178699,0.5816298442180223,1,0,0,0,1,3,5
14,9,Female,White,1,SomeCollege,Public,City,81.26228760592022,74.27169992759869,75.16658093553656,2.9630297293197465,0.9200519269860662,1.0764626243579647,1,1,0,0,0,3,2
16,11,Male,Black,1,HS,Public,Suburban,70.77491401434968,69.88828559434646,77.20000377955257,3.282798312912141,0.8846122798145786,1.029760103528352,0,0,0,0,0,3,3
17,12,Female,Black,2,HS,Private,Suburban,62.54800352605325,69.31460619221116,65.79451916728333,2.855625978718637,0.8513359584831973,0.8801233007019434,0,1,0,0,1,3,2
14,9,Male,Hispanic,3,<HS,Public,City,69.04309337265872,65.20894876431007,65.78833162258954,2.6974834102015386,0.8445430534137742,0.6193072970922588,1,1,1,0,0,3,1
18,12,Male,Black,2,HS,Public,City,81.52176399003949,73.25711142382258,85.78885294044373,3.019522704855717,0.9514520711184794,0.8901869436918688,1,1,0,1,0,2,2
15,10,Male,Hispanic,4,SomeCollege,Private,Suburban,64.84579933746248,67.76852226555626,65.20790605725425,2.835436904486616,0.8537062535759662,0.8943985216083808,1,1,0,0,0,2,4
17,12,Female,Asian,4,Bachelors+,Public,Suburban,60.88084993900161,71.23981130751667,68.14708758773216,2.436256660099299,0.8571023187612352,1.1080523296261793,1,1,0,0,0,2,3
14,9,Female,White,2,<HS,Public,Suburban,76.1346139666972,77.9531573602844,86.57053231852622,3.317309313350947,0.9371355062978908,1.5129165520718153,1,0,1,1,0,2,1
14,9,Female,White,4,HS,Public,City,79.08226143269353,75.8732243613189,88.36973362353399,3.190251316764934,0.9029539897678496,1.1071695432996738,1,1,0,1,0,4,2
17,12,Male,White,4,SomeCollege,Public,City,85.41562955865781,80.56560354764751,70.76423679642384,2.9720781525116395,0.9016023133522304,1.1272201470339802,1,0,0,0,0,2,1
14,9,Female,White,3,Bachelors+,Public,Suburban,82.05256156715303,82.78714467979259,77.81971751464008,3.200686735379244,0.8899919870230512,1.503424887593747,1,1,0,1,0,3,2
16,11,Female,Black,3,Bachelors+,Public,Suburban,79.63832322647913,79.60094875827363,79.4964902488053,3.4976279995410127,0.910330402001933,0.495664272166885,1,1,0,1,0,4,3
18,12,Female,White,2,HS,Public,Suburban,55.3626980196119,68.26164690663788,69.5206417388081,2.447062579211064,0.8666300348267933,0.4560775354959543,1,1,0,0,1,3,2
16,11,Male,White,2,SomeCollege,Public,City,85.89261085276362,82.322033392193,76.96437291180226,3.544735419485206,0.9485399846388878,0.7381125668283071,1,1,0,0,0,3,3
18,12,Male,White,2,<HS,Private,City,83.91972509560402,78.88312437904018,92.55572639525136,3.372090048427713,0.9298115939794828,1.2963503973665766,1,0,0,0,1,4,2
14,9,Male,Hispanic,3,<HS,Public,Suburban,77.81347535641898,75.38779153832168,64.05517647565094,2.8324255974128807,0.911316438111856,0.8300606689134785,1,1,0,0,1,4,3
14,9,Male,Hispanic,2,SomeCollege,Public,Rural,75.07704327450836,66.29653152970661,75.71708219767426,3.151925594528964,0.9111076139797172,1.2477765643192569,1,1,0,0,0,1,3
16,11,Male,Black,3,SomeCollege,Public,Town,79.08344411809503,74.39362124832178,71.70738217935725,3.037486536646952,0.8886472515067991,0.7604456391261339,1,0,1,1,1,5,3
16,11,Male,White,2,HS,Public,Suburban,76.03293636488007,77.86617668701676,75.24818449334266,3.012266475160912,0.8872115398777308,1.141855647575904,1,1,0,0,1,2,1
15,10,Female,White,1,HS,Public,City,53.3051391400256,72.67876622474056,66.34373230862556,2.621127505452216,0.8804866742869013,0.7963045801170994,1,1,0,0,0,3,1
15,10,Female,White,2,SomeCollege,Public,Suburban,59.20348380449568,88.42511139350933,67.81922892764796,2.7867078974370454,0.8872858666374119,1.3100627904318154,1,1,0,0,0,2,2
17,12,Female,White,2,SomeCollege,Public,City,99.33187930369697,91.01028298993155,92.9104650880972,3.82830529396542,0.9851544823060312,1.050596602484243,1,1,0,0,0,3,2
15,10,Male,Black,1,SomeCollege,Public,City,74.56657202374438,66.39152982777927,84.66038676551346,2.902390834904249,0.9184411270658064,0.7070750700366084,1,1,0,1,0,2,3
17,12,Male,Other,1,HS,Public,Rural,79.59133885915853,80.49166715678159,91.91925895326278,3.476259966156613,0.944010233059728,1.330484656518765,0,0,0,0,0,2,1
15,10,Female,White,4,SomeCollege,Public,Town,73.63567973072767,79.15407952559316,71.90007421339449,2.70570862034268,0.8962077190091441,0.833066925657464,1,1,0,0,0,3,2
17,12,Female,White,3,SomeCollege,Public,City,73.94732128825227,82.80303423132422,78.63094815472284,3.0430213159027764,0.8890979268657575,0.972766258894713,1,0,0,1,0,3,3
15,10,Male,White,2,SomeCollege,Public,City,72.20613881796285,65.47472750774179,81.58215464616333,2.614579100091817,0.8847731467577834,0.5731434783621419,0,1,1,0,0,4,2
15,10,Female,White,4,SomeCollege,Public,Suburban,92.91773643458548,89.68704510255277,95.0878242809044,3.734792247721253,0.9973533445249824,1.3484302933202847,1,0,0,1,0,2,2
17,12,Female,White,2,<HS,Public,City,73.99453485203281,72.88098074895917,68.02494153293208,2.9622418629712146,0.8810095499531778,1.2531830899504388,0,1,0,1,1,3,3
18,12,Female,White,4,Bachelors+,Public,Suburban,68.57275921580835,58.38129052706413,65.90134810993725,2.4400260607704154,0.8084673851432707,0.722160967408536,1,1,0,1,0,3,1
16,11,Male,White,3,HS,Private,City,89.88572211630529,89.96344559951366,98.43524023264952,3.686723074633029,1.0,1.5886163815711551,1,1,0,1,0,4,5
17,12,Male,Hispanic,4,SomeCollege,Private,Suburban,73.06172601155627,79.25923211429657,72.50334786190001,3.0526325705207182,0.9060476074919868,0.7650187758800361,1,0,1,0,0,5,1
17,12,Male,White,2,<HS,Public,City,69.46673163917049,74.02918618753152,83.09287703402376,3.1121762126826926,0.9115612886112324,1.186410434950418,0,1,1,0,1,3,2
15,10,Female,Two-or-more,3,SomeCollege,Public,City,68.26974216519241,66.21926262016694,74.1727739371017,2.4598061891635976,0.8754439619167582,0.5341110663702996,1,0,0,0,0,4,2
15,10,Female,Black,3,Bachelors+,Public,Suburban,83.97359287403296,87.40158672240754,82.55367541989604,4.0,0.9675144691364808,1.427894574110397,1,1,0,1,0,3,2
16,11,Male,Black,3,HS,Public,Town,79.85295158002386,81.98661143084638,81.91014021424223,3.59650356188182,0.9129240704584872,1.5116848606618736,1,0,0,0,0,2,1
17,12,Male,White,2,SomeCollege,Public,Suburban,69.17098721334993,57.32376572607453,65.9576028367349,2.178284567049629,0.8627017699329809,1.1631090008916052,1,1,1,0,0,1,3
18,12,Female,White,2,SomeCollege,Public,Town,64.33520041997613,68.18203546061785,72.15358637995885,3.2640762979986984,0.8559625204373539,0.8403973943917188,1,0,0,1,1,4,2
14,9,Female,Hispanic,2,HS,Public,Town,84.53715065424208,73.7425201989737,94.77129167607484,3.7471072869000848,0.9349773004853996,1.2297154942600934,0,0,0,0,0,4,1
17,12,Female,Asian,3,SomeCollege,Public,Suburban,84.61253804033352,78.2945085369353,92.50675492586925,3.037638909941803,0.950893684293614,1.592795238063406,1,1,0,0,1,3,3
16,11,Male,White,3,SomeCollege,Public,City,82.59849674818501,93.21677006471069,86.36081355086206,3.7935909734938695,0.9414093490502116,1.3508275591500525,1,1,0,1,1,3,2
18,12,Male,White,2,HS,Public,Town,75.86551324686918,84.1611166783935,86.27838454792328,3.0952420325131573,0.9364056596432396,0.9671318031792026,1,1,0,0,1,4,2
17,12,Male,Other,3,Bachelors+,Public,Suburban,82.23204642130467,77.21575512902561,80.10221703761773,3.4807944896213114,0.9161627227389524,1.3615559481236057,1,1,0,1,1,4,2
17,12,Male,Hispanic,4,Bachelors+,Public,City,69.54615394532352,74.77376930873477,66.6394324779106,3.108668161425357,0.9022809172939474,0.8422228981366224,1,1,0,1,0,3,2
18,12,Female,White,3,HS,Public,City,73.47315453060115,72.61227990116318,78.86773414838068,3.1295225812357765,0.91386551383006,1.560158538932914,1,0,0,0,0,3,3
16,11,Female,Other,4,SomeCollege,Public,Suburban,84.08788576019741,73.61148788986901,61.890924085386175,3.193199487871176,0.9049299279411072,1.0981791106735432,1,0,0,1,0,3,1
15,10,Male,White,3,HS,Public,City,59.17292678786207,64.72847300301493,71.16996984632898,2.5410848668574624,0.8804389148877636,1.0072492805718476,1,1,0,1,0,3,2
15,10,Female,White,4,HS,Public,Suburban,66.12965087877633,74.47692445422958,56.58828864423404,2.2936709741415027,0.8559588808692433,0.574554578115125,1,0,0,0,0,2,2
16,11,Female,White,1,HS,Public,Rural,69.77095549015412,77.5463488450535,72.28577203923169,3.2171125108182506,0.8825131044827846,0.4905768100655371,1,0,0,1,0,4,4
16,11,Female,Hispanic,1,HS,Public,Rural,89.40631078871607,90.6098586657242,74.63632969583524,3.033325585493796,0.9352188181623764,1.0797803351107924,1,1,0,0,0,4,2
16,11,Male,White,4,<HS,Public,Suburban,84.05328219870918,89.68470684856048,91.77717819581557,3.957988624108008,0.9785215637226984,1.7591485168785608,1,1,1,1,0,3,1
15,10,Female,White,1,HS,Public,Rural,59.88720595592902,62.81537137448635,66.33262977875115,2.316168030363882,0.8656230132893986,1.2212039892391933,1,1,0,0,1,3,2
15,10,Male,White,4,Bachelors+,Public,Rural,72.85138852808785,73.86716882950992,76.6226132968069,3.47683546863843,0.9091452120587932,0.2635643629170938,1,0,0,1,1,2,1
17,12,Female,White,3,SomeCollege,Public,Rural,70.38640580296124,59.59941411575761,66.1664107781636,2.455954776905813,0.8529265034420126,0.9470994510879388,1,1,0,0,0,1,1
17,12,Male,Black,1,HS,Public,Town,68.38334880946431,72.12457256183916,69.80920913153071,3.0451928182908548,0.8797771255916114,0.932490028396612,1,0,0,1,1,4,1
18,12,Female,Hispanic,3,SomeCollege,Private,Suburban,79.92238858937488,91.84359510641538,80.8508428381856,3.537881311360853,0.9542302102962698,1.2288249860015594,1,0,0,1,0,2,1
17,12,Male,Two-or-more,1,HS,Public,Suburban,77.10948597998299,76.70220607036975,78.66104316039316,2.92189348879435,0.8935948455368345,1.2735811532232666,0,0,0,1,0,3,2
15,10,Male,Hispanic,2,SomeCollege,Public,Suburban,62.006527263632776,67.08479105751758,71.79398257948085,2.8823403790287903,0.8313945847851301,0.5601958754960235,1,0,0,1,0,5,2
14,9,Male,Hispanic,4,Bachelors+,Public,City,74.38406355654278,70.72693784286616,64.22414668857772,2.652015199271502,0.835118373877976,0.9591748826345596,1,1,1,0,0,2,2
18,12,Female,White,4,SomeCollege,Private,Suburban,77.9556060239791,81.07219009673287,87.45913179710831,3.572199963069275,0.961098965232998,1.6259291116748151,1,1,1,1,0,3,2
16,11,Male,White,4,Bachelors+,Public,Rural,62.970296729715386,65.93108748774614,53.30866732014327,2.132227228239321,0.8351214979743601,0.4030217932373726,1,0,1,1,0,4,4
